web-scraper-order,web-scraper-start-url,author,title,date,content,rating,label
1580573599-682,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,mirosh nandaa,"Software sucks, superb cam",Reviewed in India on 7 December 2019,"Really disappointed after one month usage. I am MI fan and waited a long time for this phones launch. But after using it, seems like xiaomi forgot to concentrate on software quality, they just focused on camera. Camera quality is superb. But software is having multiple problems. Screen becomes off when call or voice message is in progress. When we try to stop the audio, the screen is not getting on ,so we have to wait until the audio completes playing. This occurred multiple times.
Some times UI also breakers. Width of UI increases ,so not able to find some buttons at the right and left end.
And also heats even after using camera for around one hour. I didn't play a game yet. So don't knew the heating after that.",3.0 out of 5 stars,quality
1580573898-1742,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Danish,Best phone in 15k,Reviewed in India on 3 January 2020,"Brilliant phone no complains what so ever . Runs smooth in every aspect. Camera is top class , Giving 4 star for battery because if u play high graphic games yes battery does get drain bit quickly.",5.0 out of 5 stars,quality
1580574414-3538,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,PRIYANKA S,Picture quality,Reviewed in India on 11 December 2019,I like this product very much. A very clear quality front camera than the back camera. Satisfactory battery life. It Worth's the product price.,4.0 out of 5 stars,quality
1580574439-3621,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Aa,Reviewed in India on 12 December 2019,Not as expected Alexa is also not work proper and Wi-Fi hotspot connectivity problem. Frequently shows more connections to your device,3.0 out of 5 stars,quality
1580574216-2839,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Anurag Arora,BEST MOBILE EVER,Reviewed in India on 10 November 2019,"BLACK COLOUR IS AWESOME
CAMERA CLEARITY IS ALSO AWESOME
THIS PHONE IS BESTEST EVER MOBLIE
BATTERY IS ALSO VERY GOOD
PICTYRE QUALITY IS ALSO COOL",5.0 out of 5 stars,quality
1580574827-4955,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Shyam Kumar,Good one,Reviewed in India on 25 January 2020,Very nice,4.0 out of 5 stars,quality
1580573618-760,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,neeraj,Worst product,Reviewed in India on 10 November 2019,"Don't buy it , worst mobile ,  facing heating problem",1.0 out of 5 stars,quality
1580573683-987,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Vijay,Phone vibration is not working,Reviewed in India on 15 December 2019,"I have purchased the phone. and in the new phone vibration was not working. I went to the service centre (2 different service centres in Chandigarh ) they told me that we don't have the vibrator part so I have to submit the phone there. and it will take around 2 weeks to get that part.  Still, vibration is not working on my phone. If phone doesn't vibrate you can miss the call if phone is in your pocket or bag.",2.0 out of 5 stars,quality
1580574810-4898,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Anurag Sharma,Speaker mic PROBLEM,Reviewed in India on 25 December 2019,Speaker mic don't work properly.... Voice is not clear to other person when I put my phone on speaker,3.0 out of 5 stars,quality
1580573851-1571,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Tames chi,Honest review,Reviewed in India on 30 January 2020,"1.Display good 4.5/5.0
2.Battery good 4.0/5.0
  Battery charge like normal charger
3.Day light condition super but dull light not take mark 4.0/5.0
4.Build quality is good 4.8/5.0
5.processor is better for gaming experience like pubg at that price tag 4.7/5.0",4.0 out of 5 stars,quality
1580573895-1733,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ganpat,Camera Quality,Reviewed in India on 20 November 2019,"Slow motion camera is blicking, not working properly, no clear video, not tracking back amazon.",1.0 out of 5 stars,quality
1580573475-261,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Raushan raj,Perfect phone,Reviewed in India on 30 November 2019,"Best midrange smartphone
Camera is good",5.0 out of 5 stars,quality
1580574228-2873,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Prakash,osm,Reviewed in India on 7 November 2019,nice,5.0 out of 5 stars,quality
1580574093-2415,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jayakumar,Nice product good next day delivery from Amazon,Reviewed in India on 11 November 2019,Nice product good next day delivery from Amazon,5.0 out of 5 stars,quality
1580574636-4320,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Vindhyachal,Best phone  this prise range,Reviewed in India on 25 January 2020,This prise range . Good . I exchange my Redmi note 7 . And paid 6615 only.,4.0 out of 5 stars,quality
1580574236-2903,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Deepak sadhu,Processer is good,Reviewed in India on 7 November 2019,Mobile is good but sometimes over heating issue also face,4.0 out of 5 stars,quality
1580573798-1384,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ana,Camera quality is very bad,Reviewed in India on 19 November 2019,"I suggest you , don't buy this phone , camera quality is very bad we compare this phone to mi note 7 pro , mi note 7 pro is far better in camera , heating problem when we play PUBG , and display is bad, only looks is good but looks not always matter, camera is like 5mega pixel. Don't buy this phone ever",1.0 out of 5 stars,quality
1580574146-2599,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Bola Pradhan,Super,Reviewed in India on 8 November 2019,Super,5.0 out of 5 stars,quality
1580573567-580,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,gala Praveen,All good but camera,Reviewed in India on 12 December 2019,"Everything is good but camera
I don't know why there are no share images even with 64 MP camera. Hope an update will fix it soon. except for screen size and a very few upgrades, I couldn't understand how this is better that note 5 pro which was my last phone.
Note 5 pro was awesome in every aspects .
This is not much when other phones is same price segment are considered.",5.0 out of 5 stars,quality
1580573475-265,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Akashi,Bad mobile phone,Reviewed in India on 13 November 2019,Is not good phone charging is not good. Overall this phone is not made  for us. So don't buy this phone. Your money will be lost.,5.0 out of 5 stars,quality
1580574360-3348,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Priyanka,Not really bad,Reviewed in India on 11 November 2019,Not really bad and not really good.. Its good in this price otherwise in camera performance  Samsung is better than this...,4.0 out of 5 stars,quality
1580573848-1568,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jawaharlal Padwal,Every thing is excellent in this mobile phone,Reviewed in India on 23 December 2019,"Mobile Phone is excellent, its best from all Redmi mobile phone and Its battery is good , camera awesome and Every thing is excellent and camera mode schedule time should be increased the time 5 second to 10 seconds to shoot the photos , etc.",5.0 out of 5 stars,quality
1580574346-3295,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mohammed Asif ail,Midrange gaming phone,Reviewed in India on 8 December 2019,"Super for gaming
Pub can play HDR
64mp camera super
Longest battery life",4.0 out of 5 stars,quality
1580573658-893,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Anju Kumar,Have many Feature and  Good quality  in this price rate.,Reviewed in India on 13 December 2019,"I am happy with MI NOTE 8 pro  it have good feature and design and colour(white colour) real feel price rate phone.
But weight of this phone  little more then other(201gm).
Screen and camera quite is also good.
Bigger screen with high resolution....
Pubg is run without any  problems in high quiet.
It have not heat problem like other mi phone.
Cooling system of this real work. And fast decrease the phone temperature .",5.0 out of 5 stars,quality
1580573784-1332,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Tejas khokhar,better,Reviewed in India on 18 January 2020,"Xiaomi has so much better flagship and midrange smartphone provide ,it a lot of fully and easy feature show and send Indian all besties people his much better right ,so I proud of the all be a xiaomi products,",5.0 out of 5 stars,quality
1580574549-4018,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Dinesh,Good product with small problems,Reviewed in India on 26 December 2019,"After using one week
fingerprint reader : good
camera : good
Battery : better
Radiation : lot of problem",4.0 out of 5 stars,quality
1580573482-284,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Tanmay De,Overall good phone.,Reviewed in India on 9 November 2019,Good phone overall but speaker loudness is a bit low. Ringtone is also a bit low.,4.0 out of 5 stars,quality
1580574096-2429,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mahesh Kulkarni,"Loved Camera, good for amateur photographers & game lovers",Reviewed in India on 3 December 2019,"Most awaited  phone, value for money loved the camera features, good for amateur photographers.
8GB RAM and 128GB storage is what you need for performance, also good for game lovers.",5.0 out of 5 stars,quality
1580574052-2274,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Krishna kalyan,Redmi note 8 pro.,Reviewed in India on 27 December 2019,"It's good. In earlier versions, finger prints of more fingers used to be registered. Now it seems only one finger print can be registered for access. They should allow at least two finger prints as identity.",5.0 out of 5 stars,quality
1580574448-3654,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,faizal,Must buy Redmi note8pro,Reviewed in India on 23 November 2019,"Good display, impressive camera quality, build quality, rush on to get this Mobile , worth for the ?? spent overall very happy with it....??",5.0 out of 5 stars,quality
1580574244-2934,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Abhishek,Budget Performance beast.,Reviewed in India on 8 November 2019,No doubt the best until now in the price range.,5.0 out of 5 stars,quality
1580573740-1186,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Naresh Palakuri,Super good product,Reviewed in India on 9 November 2019,It's a great mobile phone and super good product,5.0 out of 5 stars,quality
1580573451-188,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Rachit Acharya,Value for money,Reviewed in India on 13 November 2019,Really impressed by camera quality in this price range. Battery back up is also good. One must go for it if they don't want to spend too much.,5.0 out of 5 stars,quality
1580573801-1393,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Krish Mehta,Not recommended,Reviewed in India on 10 November 2019,Received the product damaged,1.0 out of 5 stars,quality
1580574526-3939,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mukesh V.,Expectation is high but result is average.,Reviewed in India on 24 November 2019,A little battery issue. Also camera quality.,3.0 out of 5 stars,quality
1580574261-2993,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Atul saha,Satisfying the price tag,Reviewed in India on 26 November 2019,"Camera is decent
Perfect for gaming
Little heating issue but ok with that
Good value for money at this price range",5.0 out of 5 stars,quality
1580574196-2766,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Awdhesh Bhadoria,Excellent phone,Reviewed in India on 6 November 2019,The camera quality of these phone is excellent,5.0 out of 5 stars,quality
1580573451-182,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,M V Sudheer,Buy but considering heating issues for hard-core gamers.,Reviewed in India on 8 November 2019,"Pros
Camera
Performance
MIUI
Build Quality
Infra red

Cons
Heating in heavy gaming",3.0 out of 5 stars,quality
1580574450-3662,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,KRISHNAMOORTHY,Superb am very happy,Reviewed in India on 7 January 2020,"Super I am very happy
I love Redmi protect..
Good battery life..
64mp Camera super...
fingerprint very fast..",5.0 out of 5 stars,quality
1580574604-4210,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Neelam Devi,Heating,Reviewed in India on 15 January 2020,Heating problem and hanging problem,1.0 out of 5 stars,quality
1580574011-2131,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nisarg  Shah,Worth buy with exciting features and beautiful colour,Reviewed in India on 23 December 2019,Gamma colour looks fabulous and phone is worth buying in the range of 15-16k. It has best features among the phones in this range and all working very well. Very satisfying buy and delivery lightning as always by amazon,5.0 out of 5 stars,quality
1580574294-3117,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Yogesh Doifode,Best smartphone in segment,Reviewed in India on 25 January 2020,Superb features in price,4.0 out of 5 stars,quality
1580574275-3047,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Waseem ATHAR,All is best,Reviewed in India on 23 November 2019,"All is Best.
15998/-  6gbram/128gbrom",5.0 out of 5 stars,quality
1580574701-4524,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Aniket gupta,Good phone,Reviewed in India on 26 November 2019,I love the picture quality of camera and processor which is to good and and fingerprint reader is also to fast,5.0 out of 5 stars,quality
1580573801-1400,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,YAHYA,Very goody,Reviewed in India on 7 November 2019,Very good,5.0 out of 5 stars,quality
1580573758-1241,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,SPS,OK OK phone,Reviewed in India on 22 November 2019,"Built quality:5/5
Display:4/5
Camera front :3/5
Rear : 3/5
Slow me : 1/5
Lowlight :3/5
Lags in taking detailing pictures.
Overall not that great phone for 18k?
Ok ok .",3.0 out of 5 stars,quality
1580573435-138,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,hitesh sarsava,Awesome phone with low budget,Reviewed in India on 6 November 2019,Awesome phone. It's display is not much good. And brightness of phone also not as much as other phones have.,5.0 out of 5 stars,quality
1580574535-3968,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kishore Acharya,Value product,Reviewed in India on 17 November 2019,"S Amoled screen could have been much better with an aluminium frame. But, for the price, no complains from my side. I am happy.",4.0 out of 5 stars,quality
1580573743-1195,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sreeti,Good product but battery life is disappointing,Reviewed in India on 3 December 2019,"Writing this review after using the phone for about 1 month. Picture and sound quality is good.. but disappointed with battery life, it could have been better. Photos are really good in normal light, in dark photos does not come that good. Received one system update till now.",3.0 out of 5 stars,quality
1580573533-454,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Rahul maheshwari,Performance king,Reviewed in India on 10 November 2019,"Everything is good but there is need for stable camera update because the camera do dark area more darker like shadows ,dark circles & the night picture is also not so good ...
If this is updated then it will become perfect mobile ??",4.0 out of 5 stars,quality
1580574442-3632,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Avinashkumar,Good,Reviewed in India on 29 January 2020,"Battery is good
Camera quality is not up to the mark
Finger print is good
Mobile is very heavy
Overall good....",4.0 out of 5 stars,quality
1580574140-2579,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,samin,First time user,Reviewed in India on 16 November 2019,"First time using redmi phone and experience with it awesome, go for it without thinking",5.0 out of 5 stars,quality
1580573624-777,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Konda Reddy L.,Hangs And also Hotspot never works,Reviewed in India on 14 January 2020,"They says high end configuration phone, but I can say it just configuration where as performance is lower than 2GB ram phone.

Pros: Camera ( If you are looking for Camera there will be better camera options with 10K rupees)

Cons: You can see your internet speed is more than 100KB/s but the page will never load. I don't understand where is my 100KB data does it going for an hidden processes??

2. When you want to open an portable Hotspot it will never display your device in laptops/mobile but in the phone you can see Hotspot is active.",1.0 out of 5 stars,quality
1580573500-343,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ajay prajapati,Poor mobile don't buy vivo s1 good for this mobile,Reviewed in India on 2 December 2019,Don't buy this phone is use FB messenger and video call not minimize feature options then front camera video call time very poor better buy vivo s1 or A9 5050  better fast down already 3 mobile same company buy and return really cheap mobile only mediatek chipset told and features show under 15 k this mobile but really poor all I call mi centre this person told please if u want buy vivo there all future available nice mi centre nice help please don't waste money,1.0 out of 5 stars,quality
1580573567-578,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Naveen,Good phone in 16K,Reviewed in India on 25 December 2019,"The phone gives you everything you need in a mobile.

Game booster, Good Camera, Long lasting battery, fast charging support, Stylish look and last but not the least trust and quality from Xiaomi India. Its been a month I am using this phone. I am satisfy with its performance so far.
Using an app over the other app has been my favourite feature of this phone.

Kudos to MI India",5.0 out of 5 stars,quality
1580573547-509,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Tsering dolma,Must read VERY GOOD,Reviewed in India on 4 January 2020,"1.Very smooth device. The finger print scanner is very fast but after some days it becomes little bit slow.
2.Camera is superb
3.Battery life is decent.
4.After using it for 3 days I noticed some scratches.
5. Selfie camera is good.
6.One more problem I should mention that we cannot record videos in 64 megapixel.
7.Screen and the back panel is not anti finger print. I will recommend you to buy the White colour because green colour will have too many finger prints.
8. The buttons are of low quality.
9.  Again very very smooth. Overall very good mobile it is a all-rounder.

DEFINITELY RECOMMENDED ??????????????????????????",5.0 out of 5 stars,quality
1580574748-4683,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sachin satrap,Good phone but go for 6gb 128 gab,Reviewed in India on 26 December 2019,Camera is good. But phone is little bit heavy and heat up while playing heavy game on it.,3.0 out of 5 stars,quality
1580573669-938,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Raj,Only marketing,Reviewed in India on 19 November 2019,As per not value,1.0 out of 5 stars,quality
1580573890-1718,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Priyaranjan,Excellent,Reviewed in India on 7 November 2019,Excellent,5.0 out of 5 stars,quality
1580574672-4426,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HEET POPAT,Best,Reviewed in India on 19 November 2019,Superb,5.0 out of 5 stars,quality
1580573469-245,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Anindya Sundar,Definitely the best camera phone in the segment,Reviewed in India on 11 November 2019,"Things I love about it:
The CAMERA IS REALLY CAPABLE, compared some shots with Galaxy S10e and my Reno 10x Zoom, I can tell in normal day light situations differences are minor, in low light condition it also does an excellent job, dynamic range is good but not great, macro images I have taken are amazing to look at, ultra-wide camera is okay. Considering the price it is really the best camera smartphone around 15k.
Recorded Videos with main are also good, it has EIS which does a fine job of stabilizing.
Reliable 2 day battery life for me as I don't play games too often.
Mediatek G90T does a great of handling day-to-day apps.
Pub mobile is running smooth with HDR+ultra frame rate.

Things I like:
Premium looking design, bought the  white colour, gorilla glass on both sides.
It is splash proof which is better than having no ingress protection at all, provides a little peace of mind.
New HDR display which is bright enough.
Dedicated microSD card slot.

Things I don't like:
Still no app drawer in the UI, lots of unnecessary apps, unwanted ads, confusing settings menu.
While competitors have super Amoled it has an LCD screen.
Faced a little bit heating while playing games, though it is not that much compared to previous phones.",5.0 out of 5 stars,quality
1580574224-2864,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,abdulhalim,#MI Love Buy and Take one experience for best smartphone,Reviewed in India on 24 November 2019,#MI Love Gaming Is so easy in this smartphone because it  has very special features of Gaming and this phone include other more features.,5.0 out of 5 stars,quality
1580573573-598,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mama,"Video quality is not upto the mark, Screen rotate doesn't work properly.",Reviewed in India on 26 December 2019,"It's been two weeks since m using this product, display quality is not up to the mark or as mentioned in the description. Also, camera quality is just ok. Screen rotate off doesn't work and you will have to shake mobile multiple times to get it your way. It's irritating sometimes. Blocking calls or messages doesn't help. Recognizing which sim you're using to call or receiving call from is difficult as operator names are not being displayed anywhere. Even the sim slots are not mentioned. Battery life is good. Screen resolution is not up to the mark. Brightness you will have to keep above 70% to make it visualize in a day light outside your home/office. M very upset with the video quality. Sound quality is ok but speaker is at the bottom facing downside so little difficult to keep the phone downside up all the time. Overall rating should be max 3 out of 5.",2.0 out of 5 stars,quality
1580574804-4875,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sanyam jain,Good product by shaomi????,Reviewed in India on 26 January 2020,"Cooling system is good for gaming
Worth of cost
No problem appear so far...",4.0 out of 5 stars,quality
1580574408-3513,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Shrikanth.M,Battery is good.,Reviewed in India on 28 January 2020,"Battery is good, Camera is not much expected but ok. Net speed & over all phone is good for the cost.",5.0 out of 5 stars,quality
1580573957-1957,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Average .....,Reviewed in India on 18 January 2020,"Awesome. But some faults are there..
1.no fingerprint shutter
2.no front flash
3.slowmo only for 10 sec duration .
4.no amoloyed screen
otherwise its very good",4.0 out of 5 stars,quality
1580573743-1192,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Great phone at this price.,Reviewed in India on 6 January 2020,"The screen is good, keypad feels good. While watching NETFLIX the image quality is slightly underrated. Colours and saturation levels should be improved.
Camera is good. Not a threshold breaker.
Switching between apps is easy.
Phone feels good in hand, perfect weight. Full points to keypad.",5.0 out of 5 stars,quality
